Date,Symbol,Close,High_24h,Low_24h,Price_Change_Percent,Base_Volume,Quote_Volume,USDT_Volume,Index_Price,MACD,Signal,MACD_Histogram,RSI
1681996083,BTCUSDT_UMCBL,28854.5,29483,28319,-0.01392,172842.59,5005132305.635,5005132305.635,28869.954458,-16.164075983277144,-13.862794530517467,-2.3012814527596763,34.62897526501766
1681996143,BTCUSDT_UMCBL,28839.0,29483,28319,-0.01393,172882.297,5006261924.446,5006261924.446,28855.229407,-15.814808729886863,-14.253197370391348,-1.5616113594955152,31.210191082802552
1681996203,BTCUSDT_UMCBL,28836.5,29483,28319,-0.01402,172903.178,5006852517.858,5006852517.858,28854.858801,-15.560370753813913,-14.514632047075862,-1.0457387067380512,32.775919732441466
1681996264,BTCUSDT_UMCBL,28848.0,29483,28319,-0.01363,172917.925,5007257690.2905,5007257690.2905,28865.116262,-14.26631968134825,-14.464969573930341,0.19864989258209143,42.1602787456446
1681996324,BTCUSDT_UMCBL,28840.5,29483,28319,-0.01388,172950.521,5008177030.3445,5008177030.3445,28855.912519,-13.688173460108374,-14.309610351165949,0.6214368910575754,38.01369863013698
1681996384,BTCUSDT_UMCBL,28831.5,29483,28319,-0.01421,172947.147,5008068721.512,5008068721.512,28853.025959,-13.797168033674097,-14.20712188766758,0.40995385399348194,33.88704318936877
1681996444,BTCUSDT_UMCBL,28821.5,29483,28319,-0.01451,172987.615,5009212778.9335,5009212778.9335,28840.790918,-14.523050756164594,-14.270307661366983,-0.25274309479761037,34.11371237458194
1681996504,BTCUSDT_UMCBL,28823.0,29483,28319,-0.01398,173025.77,5010299894.953,5010299894.953,28844.894141,-14.806599319297675,-14.377565992953121,-0.4290333263445536,40.0763358778626
1681996565,BTCUSDT_UMCBL,28817.5,29483,28319,-0.01467,173101.412,5012472113.9085,5012472113.9085,28838.327373,-15.298763016118755,-14.56180539758625,-0.7369576185325055,39.62264150943396
1681996625,BTCUSDT_UMCBL,28797.0,29483,28319,-0.01537,173211.591,5015624806.9565,5015624806.9565,28819.077575,-17.14534411173736,-15.078513140416472,-2.0668309713208863,39.03345724907063
1681996685,BTCUSDT_UMCBL,28777.0,29483,28319,-0.01602,173295.15,5018002917.374,5018002917.374,28797.029595,-19.99214874093741,-16.061240260520663,-3.930908480416747,36.71328671328671
1681996745,BTCUSDT_UMCBL,28784.0,29483,28319,-0.01581,173350.545,5019552296.3205,5019552296.3205,28801.789393,-21.436315914910665,-17.136255391398663,-4.300060523512002,36.267605633802816
1681996806,BTCUSDT_UMCBL,28778.5,29483,28319,-0.016,173388.358,5020616014.253,5020616014.253,28796.446363,-22.762243861303432,-18.261453085379618,-4.500790775923814,28.358208955223887
1681996866,BTCUSDT_UMCBL,28776.5,29483,28319,-0.01607,173390.06,5020642369.1345,5020642369.1345,28791.863838,-23.70122166703368,-19.34940680171043,-4.351814865323249,27.67527675276753
1681996926,BTCUSDT_UMCBL,28767.5,29483,28319,-0.01643,173499.456,5023772645.211,5023772645.211,28783.178469,-24.88473736478045,-20.456472914324436,-4.4282644504560125,15.748031496062993
1681996986,BTCUSDT_UMCBL,28755.5,29483,28319,-0.01686,173604.017,5026779573.755,5026779573.755,28773.809999,-26.4856714599955,-21.66231262345865,-4.823358836536851,16.194331983805668
1681997047,BTCUSDT_UMCBL,28788.5,29483,28319,-0.01569,173654.263,5028196131.5625,5028196131.5625,28803.511212,-24.805654908272118,-22.290981080421346,-2.514673827850771,34.41558441558442
1681997107,BTCUSDT_UMCBL,28787.5,29483,28319,-0.01566,173692.861,5029284540.1555,5029284540.1555,28802.110404,-23.28648917790997,-22.49008269991907,-0.7964064779908995,28.919860627177698
1681997167,BTCUSDT_UMCBL,28773.0,29483,28319,-0.01619,173695.822,5029351421.332,5029351421.332,28790.201111,-22.987581677734852,-22.58958249548223,-0.3979991822526223,27.57475083056478
1681997228,BTCUSDT_UMCBL,28774.0,29483,28319,-0.01616,173670.386,5028579809.725,5028579809.725,28791.563737,-22.411656067313743,-22.553997209848536,0.1423411425347929,29.824561403508767
1681997288,BTCUSDT_UMCBL,28781.5,29483,28319,-0.0159,173599.526,5026471115.1495,5026471115.1495,28800.033636,-21.106738212223718,-22.264545410323574,1.1578071980998565,35.71428571428572
1681997348,BTCUSDT_UMCBL,28769.0,29483,28319,-0.01634,173695.938,5029223104.4035,5029223104.4035,28783.586868,-20.84098504128997,-21.979833336516855,1.138848295226886,32.11920529801324
