Timestamp,Symbol,Last_Price,Best_Ask,Best_Bid,Bid_Size,Ask_Size,High_24h,Low_24h,Price_Change_Percent,Base_Volume,Quote_Volume,USDT_Volume,Open_UTC,Change_UTC,Index_Price,Funding_Rate,Holding_Amount
1681995300,BTCUSDT_UMCBL,28898,28898.5,28898,0.859,4,29483,28319,-0.01192,172358.715,4991500365.8505,4991500365.8505,28795.5,0.00356,28915.009494,0.000059,65876.843
1681995360,BTCUSDT_UMCBL,28888,28888.5,28888,2.969,7.03,29483,28319,-0.01224,172314.5,4990163063.294,4990163063.294,28795.5,0.00323,28906.883265,0.000067,65773.185
1681995420,BTCUSDT_UMCBL,28870.5,28871,28870.5,0.113,4.703,29483,28319,-0.01286,172313.398,4990103353.724,4990103353.724,28795.5,0.0026,28895.475072,0.000062,65752.238
1681995480,BTCUSDT_UMCBL,28875.5,28876,28875.5,3.114,3.019,29483,28319,-0.01269,172424.714,4993301872.4935,4993301872.4935,28795.5,0.00278,28898.001919,0.000056,65844.902
1681995541,BTCUSDT_UMCBL,28880,28880,28879.5,1.946,3.057,29483,28319,-0.01253,172458.417,4994245318.938,4994245318.938,28795.5,0.00293,28902.748585,0.000064,66160.268
1681995601,BTCUSDT_UMCBL,28869,28869.5,28869,0.301,1.636,29483,28319,-0.01289,172519.425,4996006741.38,4996006741.38,28795.5,0.00257,28892.764646,0.000064,66075.437
1681995661,BTCUSDT_UMCBL,28849,28849,28848.5,9.209,4.138,29483,28319,-0.01359,172588.122,4997974751.209,4997974751.209,28795.5,0.00186,28871.512626,0.00007,65555.248
1681995721,BTCUSDT_UMCBL,28845,28845,28844.5,0.869,53.015,29483,28319,-0.01375,172651.307,4999772533.455,4999772533.455,28795.5,0.0017,28864.454646,0.00007,65440.683
1681995782,BTCUSDT_UMCBL,28826.5,28827,28826.5,0.027,26.103,29483,28319,-0.01436,172714.786,5001578144.6445,5001578144.6445,28795.5,0.00108,28842.720202,0.000072,65348.92
1681995842,BTCUSDT_UMCBL,28815,28815,28814.5,3.051,0.163,29483,28319,-0.01477,172718.891,5001661249.3085,5001661249.3085,28795.5,0.00066,28834.817474,0.000054,65193.392
1681995902,BTCUSDT_UMCBL,28823,28823,28822.5,0.717,50.071,29483,28319,-0.01448,172818.927,5004520547.778,5004520547.778,28795.5,0.00096,28843.185757,0.000065,64989.94
1681995962,BTCUSDT_UMCBL,28836.5,28836.5,28836,10.343,4,29483,28319,-0.01404,172850.399,5005412938.2785,5005412938.2785,28795.5,0.00141,28856.331124,0.000069,65877.946
1681996023,BTCUSDT_UMCBL,28837,28837,28836.5,0.031,104.045,29483,28319,-0.014,172812.568,5004288969.506,5004288969.506,28795.5,0.00144,28855.996377,0.000068,65929.131
1681996083,BTCUSDT_UMCBL,28854.5,28854.5,28854,5.214,0.139,29483,28319,-0.01392,172842.59,5005132305.635,5005132305.635,28795.5,0.00153,28869.954458,0.000069,65791.723
1681996143,BTCUSDT_UMCBL,28839,28839,28838.5,10.56,1.185,29483,28319,-0.01393,172882.297,5006261924.446,5006261924.446,28795.5,0.00151,28855.229407,0.000063,65809.808
1681996203,BTCUSDT_UMCBL,28836.5,28836.5,28836,3.029,0.467,29483,28319,-0.01402,172903.178,5006852517.858,5006852517.858,28795.5,0.00142,28854.858801,0.000065,65890.61
1681996264,BTCUSDT_UMCBL,28848,28849,28848,10.81,3.021,29483,28319,-0.01363,172917.925,5007257690.2905,5007257690.2905,28795.5,0.00182,28865.116262,0.000057,65964.852
1681996324,BTCUSDT_UMCBL,28840.5,28841,28840.5,25.228,13.606,29483,28319,-0.01388,172950.521,5008177030.3445,5008177030.3445,28795.5,0.00156,28855.912519,0.000069,66013.102
1681996384,BTCUSDT_UMCBL,28831.5,28831.5,28831,9.571,2.533,29483,28319,-0.01421,172947.147,5008068721.512,5008068721.512,28795.5,0.00123,28853.025959,0.000072,66014.328
1681996444,BTCUSDT_UMCBL,28821.5,28822,28821.5,7.988,0.486,29483,28319,-0.01451,172987.615,5009212778.9335,5009212778.9335,28795.5,0.00092,28840.790918,0.000068,65968.138
1681996504,BTCUSDT_UMCBL,28823,28824,28823.5,3.05,3.55,29483,28319,-0.01398,173025.77,5010299894.953,5010299894.953,28795.5,0.00146,28844.894141,0.000069,65974.402
1681996565,BTCUSDT_UMCBL,28817.5,28817.5,28817,7.181,0.662,29483,28319,-0.01467,173101.412,5012472113.9085,5012472113.9085,28795.5,0.00076,28838.327373,0.000072,66334.538
1681996625,BTCUSDT_UMCBL,28797,28797,28796.5,3.058,3.711,29483,28319,-0.01537,173211.591,5015624806.9565,5015624806.9565,28795.5,0.00005,28819.077575,0.000057,66189.534
1681996685,BTCUSDT_UMCBL,28777,28778,28777,7.649,3.055,29483,28319,-0.01602,173295.15,5018002917.374,5018002917.374,28795.5,-0.00061,28797.029595,0.000074,66139.245
1681996745,BTCUSDT_UMCBL,28784,28784.5,28784,21.859,3.162,29483,28319,-0.01581,173350.545,5019552296.3205,5019552296.3205,28795.5,-0.0004,28801.789393,0.00006,66117.58
1681996806,BTCUSDT_UMCBL,28778.5,28778.5,28778,4.514,0.225,29483,28319,-0.016,173388.358,5020616014.253,5020616014.253,28795.5,-0.00059,28796.446363,0.000073,66174.064
1681996866,BTCUSDT_UMCBL,28776.5,28776.5,28776,0.154,31.151,29483,28319,-0.01607,173390.06,5020642369.1345,5020642369.1345,28795.5,-0.00066,28791.863838,0.000062,66294.469
1681996926,BTCUSDT_UMCBL,28767.5,28766.5,28766,10.61,7.62,29483,28319,-0.01643,173499.456,5023772645.211,5023772645.211,28795.5,-0.00102,28783.178469,0.000074,66218.409
1681996986,BTCUSDT_UMCBL,28755.5,28755.5,28755,4.916,3.04,29483,28319,-0.01686,173604.017,5026779573.755,5026779573.755,28795.5,-0.00146,28773.809999,0.000066,66248.987
1681997047,BTCUSDT_UMCBL,28788.5,28788.5,28788,13.396,3.026,29483,28319,-0.01569,173654.263,5028196131.5625,5028196131.5625,28795.5,-0.00028,28803.511212,0.000066,66212.105
1681997107,BTCUSDT_UMCBL,28787.5,28788,28787.5,0.025,14.697,29483,28319,-0.01566,173692.861,5029284540.1555,5029284540.1555,28795.5,-0.00024,28802.110404,0.00007,66280.702
1681997167,BTCUSDT_UMCBL,28773,28773.5,28773,20.427,3.036,29483,28319,-0.01619,173695.822,5029351421.332,5029351421.332,28795.5,-0.00078,28790.201111,0.00006,66299.591
1681997228,BTCUSDT_UMCBL,28774,28774,28773.5,20.982,3.031,29483,28319,-0.01616,173670.386,5028579809.725,5028579809.725,28795.5,-0.00075,28791.563737,0.000059,66187.442
1681997288,BTCUSDT_UMCBL,28781.5,28781.5,28781,16.798,3.014,29483,28319,-0.0159,173599.526,5026471115.1495,5026471115.1495,28795.5,-0.00049,28800.033636,0.000076,66304.443
1681997348,BTCUSDT_UMCBL,28769,28769,28768.5,5.61,3.052,29483,28319,-0.01634,173695.938,5029223104.4035,5029223104.4035,28795.5,-0.00094,28783.586868,0.000062,66378.655
1681997408,BTCUSDT_UMCBL,28764,28764,28763.5,0.235,21.019,29483,28319,-0.0165,173683.249,5028825803.0515,5028825803.0515,28795.5,-0.00109,28779.969999,0.000063,66405.746
1681997469,BTCUSDT_UMCBL,28752.5,28752.5,28752,11.782,10.525,29483,28319,-0.01689,173696.877,5029188784.614,5029188784.614,28795.5,-0.00149,28768.841428,0.000069,66206.287
1681997529,BTCUSDT_UMCBL,28770,28772,28771.5,8.729,3.059,29483,28319,-0.01653,173758.137,5030917779.8295,5030917779.8295,28795.5,-0.00113,28785.266939,0.000063,66225.955
1681997589,BTCUSDT_UMCBL,28795,28795,28794.5,20.589,3.03,29483,28319,-0.01569,173622.978,5026898815.372,5026898815.372,28795.5,-0.00028,28808.607979,0.00008,66429.307
1681997649,BTCUSDT_UMCBL,28795,28795.5,28795,8.499,3.023,29483,28319,-0.01552,173737.134,5030150669.5525,5030150669.5525,28795.5,-0.0001,28809.338041,0.000068,66637.274
1681997710,BTCUSDT_UMCBL,28821,28821,28820.5,3.415,16.252,29483,28319,-0.01457,173727.663,5029837792.2025,5029837792.2025,28795.5,0.00087,28833.809202,0.000064,66693.429
1681997770,BTCUSDT_UMCBL,28836,28836.5,28836,19.18,3.041,29483,28319,-0.01402,173665.744,5027950319.559,5027950319.559,28795.5,0.00142,28852.789666,0.000076,65986.169
